Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
libqt5gui5 |	LGPL-2.1	|NA|	part of qt  library (ver. 5.x)|	NA|
libqt5network5 |	LGPL-2.1	|NA|	part of qt  library (ver. 5.x)|	NA|
libqt5printsupport5 |	LGPL-2.1	|NA|	part of qt  library (ver. 5.x)|	NA|
libqt5qml5 |	LGPL-2.1	|NA|	part of qt  library (ver. 5.x)|	NA|
libqt5quick5 |	LGPL-2.1	|NA|	part of qt  library (ver. 5.x)|	NA|
libqt5svg5 |	LGPL-2.1	|NA|	part of qt  library (ver. 5.x)|	NA|
libqt5webkit5 |	LGPL-2.1	|NA|	part of qt  library (ver. 5.x)|	NA|
libqt5widgets5 |	LGPL-2.1	|NA|	part of qt  library (ver. 5.x)|	NA|
librsvg2-2 |	LGPL-2.0, GPL-2+	|ubuntu.com|	Different files are licensed differently. Files: * under LGPL-2.0, Files: tests/pdiff/* under GPL-2.0+ |	http://changelogs.ubuntu.com/changelogs/pool/main/libr/librsvg/librsvg_2.40.13-3/copyright|
librsvg2-common |	LGPL-2.0, GPL-2+	|ubuntu.com|	Different files are licensed differently. Files: * under LGPL-2.0, Files: tests/pdiff/* under GPL-2.0+ |	http://changelogs.ubuntu.com/changelogs/pool/main/libr/librsvg/librsvg_2.40.13-3/copyright|
libsasl2-2 |	BSD Equivalent	|NA|	part of cyrus-sasl|	NA|
libsasl2-modules |	BSD Equivalent	|NA|	part of cyrus-sasl|	NA|
libsasl2-modules-db |	BSD Equivalent	|NA|	part of cyrus-sasl|	NA|
libsoup2.4-1 |	LGPL-2.0	|NA|	NA|	NA|
libsoup-gnome2.4-1 |	LGPL-2.0	|NA|	NA|	NA|
libsqlite3-0 |	LGPL-2.1	|NA|	Source package sqlite3|	NA|
libusb-1.0-0 |	LGPL-2.1	|NA|	NA|	NA|
libuv1 |	MIT	|NA|	part of libuv|	NA|
libuv1-dev |	MIT	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/ppc64el/libuv1-dev/filelist|
libwacom2 |	MIT	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libw/libwacom/libwacom_0.18-1/copyright|
libwacom-common |	MIT	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libw/libwacom/libwacom_0.18-1/copyright|
libxcb-icccm4 |	MIT	|NA|	part of libxcb|	NA|
libxcb-image0 |	MIT	|NA|	part of libxcb|	NA|
libxcb-keysyms1 |	MIT	|NA|	part of libxcb|	NA|
